#@ Using S/N > 6 for detection threshold on zuul
#@ Using beams within 0.5 deg of pulsars in timing_GBNCC_071118.txt 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-09-10 17:07:26 (ET)
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 Dist  	 MJD     BW	 Spindx  Temp 	Wdat  	Wcat 	Wsmr 	 S/Ne 	 S/Nc 	 S/Ns	S/Nm 	   Flux		 dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (deg)	 (day)	(MHz)		 (K) 	(s)    	(s)    	(s)    					   (mJy)	 (mJy)  
J0740+41    	 115.1 	 41.06 	 0.003139 	 21.0 	 0.495 	 55648 	 71.5 	 * 	 59.05 	 0.24008 	 0.03! 	 0.17! 	 18.255	 192.03	87.578	1.4043	   0.5599    	 0.3062    	Not Detected in  26451
J0740+41    	 115.1 	 41.06 	 0.003139 	 21.0 	 0.495 	 55635 	 71.5 	 * 	 59.05 	 0.21976 	 0.00! 	 0.04! 	 19.147	 384.18	175.39	2.9732	   1.1301    	 0.3125    	Not Detected in  26451
J0741+66    	 115.4 	 66.33 	 0.00288  	 15.0 	 0.010 	 55189 	 95.0 	 * 	 114.9 	 0.25796 	 0.59! 	 2.69! 	 *	 *	*	87.106	   10.404    	 3.3935    	Detected in Beam  06389
J0746+66    	 116.6 	 66.60 	 0.407    	 28.0 	 0.010 	 55189 	 94.9 	 * 	 60.39 	 10.4838 	 2.39! 	 9.57! 	 285.27	 421.55	206.91	16.163	   0.5261    	 0.1791    	Detected in Beam  06245
J0749+57    	 117.4 	 57.00 	 1.175    	 27.0 	 0.007 	 55290 	 95.2 	 * 	 98.63 	 15.3791 	 2.39! 	 9.57! 	 *	 *	*	49.319	   1.8537    	 0.7273    	Detected in Beam  12256
J0749+57    	 117.4 	 57.00 	 1.175    	 27.0 	 0.488 	 55290 	 95.2 	 * 	 98.63 	 62.3472 	 2.39! 	 9.57! 	 *	 *	*	4.1501	   1.8751    	 0.3005    	Not Detected in  12489
J0758-30    	 119.6 	 -30.0 	 1.092    	 86.0 	 0.494 	 56778 	 90.7 	 * 	 57.26 	 60.6484 	 2.39! 	 9.57! 	 *	 *	*	0.8745	   0.2518    	 0.3029    	Not Detected in 113676
J0758-30    	 119.6 	 -30.0 	 1.092    	 86.0 	 0.000 	 56784 	 90.0 	 * 	 57.26 	 25.6694 	 2.39! 	 9.57! 	 *	 *	*	45.251	   1.3673    	 0.4810    	Detected in Beam 114053
J0758-30    	 119.6 	 -30.0 	 1.092    	 86.0 	 0.494 	 56784 	 91.3 	 * 	 57.26 	 33.0361 	 2.39! 	 9.57! 	 *	 *	*	7.4589	   1.5563    	 0.3140    	Detected in Beam 114430
J0930-22    	 142.5 	 -22.9 	 1.807    	 79.0 	 0.494 	 56663 	 94.2 	 * 	 56.07 	 90.6586 	 2.39! 	 9.57! 	 *	 *	*	2.6264	   0.6902    	 0.3057    	Not Detected in 105251
J0930-22    	 142.5 	 -22.9 	 1.807    	 79.0 	 0.011 	 56663 	 94.3 	 * 	 56.07 	 21.2526 	 2.39! 	 9.57! 	 *	 *	*	56.745	   1.1545    	 0.5071    	Detected in Beam 105628
J0943+41    	 145.8 	 41.14 	 2.23     	 21.0 	 0.496 	 55572 	 21.9 	 * 	 45.34 	 1204.55 	 2.39! 	 9.57! 	 5.1497	 50.722	24.896	460.74	   965.52    	 72.346    	Detected in Beam  25613
