# Using S/N > 6 for detection threshold on zuul
# Using beams within 0.5 deg of pulsars from tmp
# Flux adjusted for offset from beam center
# Expected S/N estimated from published flux values
# Flux estimated from measured S/N, uncertainty estimated from dependencies
# File generated 2018-07-25 11:29:59 (ET)
#   PSRJ  	   RA 		     Dec 	 P0 			P1 	      DM 	 Distance  	  MJD   	 S/N exp. 	  S/N meas. 	     Est. Flux	   Flux Error	Status 
#		   (deg)   	    (deg) 	 (s) 			(s/s) 	      (p/cc) 	 (deg)		  (day)					             (mJy)  	   (mJy)  
J0201+7005	 30.42227 	 70.08836 	 1.3492 	 5.5144E-15 	   21.029 	 0.4492386 	  55163  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 04646
J0205+6449	 31.40801 	 64.82815 	 0.0657 	 1.93754256E-13 	    140.7 	 0.4689280 	  55188  	  2.8528	   2.588	     0.667    	   0.260    	Not Detected in # 06997
J0205+6449	 31.40801 	 64.82815 	 0.0657 	 1.93754256E-13 	    140.7 	 0.0429534 	  55188  	  14.290	   2.914	     0.150    	   0.114    	Not Detected in # 07230
J0212+5222	  33.2175 	 52.37917 	 0.3764 	  6.6E-15 	 38.23555 	 0.1801750 	  55353  	  49.581	  14.161	     1.374    	   0.379    	Detected in Beam # 15681
J0212+5222	  33.2175 	 52.37917 	 0.3764 	  6.6E-15 	 38.23555 	 0.3535347 	  55380  	  36.195	   4.515	     0.600    	   0.143    	Not Detected in # 16058
J0214+5222	  33.7303 	 52.37804 	 0.0246 	 2.99E-19 	  22.0354 	 0.2620252 	  55353  	  10.230	  10.233	     1.130    	   0.265    	Detected in Beam # 15681
J0214+5222	  33.7303 	 52.37804 	 0.0246 	 2.99E-19 	  22.0354 	 0.2486677 	  55353  	  10.763	  10.994	     1.154    	   0.283    	Detected in Beam # 15914
J0215+6218	 33.98595 	 62.30927 	 0.5489 	 6.6212E-16 	    84.00 	 0.2788195 	  55200  	  57.390	  12.281	     3.589    	   0.616    	Detected in Beam # 08539
J0215+6218	 33.98595 	 62.30927 	 0.5489 	 6.6212E-16 	    84.00 	 0.2723909 	  55200  	  36.694	  23.323	    10.660    	   1.740    	Detected in Beam # 08772
J0215+6218	 33.98595 	 62.30927 	 0.5489 	 6.6212E-16 	    84.00 	 0.4366793 	  55200  	  64.316	   0.000	     0.000    	   0.000    	Not Detected in # 08916
