num name RA Dec P0 dP0 P1 dP1 DM dDM W50 dW50 S400 dS400 S1400 dS1400 SPINDX dSPINDX temp
134 J0408+552 62.0 55.0 0.754000 0.0 * 0.0 64.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 72.108235820703
135 J0410-31 62.6625 -31.124722 1.878500 0.0002 * 0.0 9.20 0.3 18.000 0.0 * 0.0 * 0.0 * 0.0 21.75165791285669
136 J0413+58 63.25 58.0 0.687000 0.0 * 0.0 57.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 67.78770102979311
137 J0415+6954 63.981889 69.902747 0.390715 3e-13 7.66e-17 3e-21 27.45 0.00038 4.400 0.0 6.40 0.3 0.50 0.1 -1.80 0.2 50.50556186615355
138 J0417+35 64.429167 35.75 0.654400 3e-05 * 0.0 48.53 0.0012 * 0.0 * 0.0 * 0.0 -2.40 0.6 51.25048165768973
139 J0417+61 64.25 61.133333 0.440283 1.3e-05 * 0.0 71.00 2.0 * 0.0 1.50 0.0 * 0.0 * 0.0 64.65903790534112
141 J0418+5732 64.641113 57.539697 9.078388 5e-08 4.10e-15 1e-16 * 0.0 * 0.0 * 0.0 * 0.0 * 0.0 67.78770102979311
142 J0419+44 64.75 44.0 1.241000 0.0 * 0.0 71.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 66.29786144672073
144 J0421-0345 65.389817 -3.751836 2.161308 1.5e-11 1.16e-15 1.5e-19 44.61 0.09 25.000 2.0 6.00 0.0 0.50 0.0 * 0.0 24.88032103730868
145 J0421+32 65.375 32.666667 0.900500 0.0 * 0.0 75.00 15.0 400.000 0.0 * 0.0 * 0.0 * 0.0 47.078930825087085
146 J0426+4933 66.528387 49.560683 0.922475 2e-12 3.93e-14 2e-19 85.00 0.0 * 0.0 * 0.0 0.19 0.05 * 0.0 71.95925186239576
147 J0435+2749 68.965908 27.817139 0.326279 1.4e-12 8.17e-18 1.1e-19 53.19 0.02 53.000 0.0 2.00 0.0 0.24 0.03 -2.30 0.4 47.972834574930516
149 J0447-04 71.75 -4.583333 2.188190 2e-05 * 0.0 29.83 0.04 * 0.0 * 0.0 * 0.0 * 0.0 29.64780770314028
150 J0448-2749 72.173198 -27.829649 0.450448 1.7e-12 1.48e-16 1.9e-20 26.22 0.04 10.500 0.0 2.00 0.0 2.00 0.4 * 0.0 28.306952078375147
152 J0450-1248 72.536588 -12.801972 0.438014 8e-13 1.03e-16 6e-21 37.04 0.01 24.800 0.0 11.00 1.0 1.20 0.2 -2.00 0.1 27.41304832853172
154 J0452-1759 73.142107 -17.989825 0.548939 3e-12 5.75e-15 1.6e-20 39.90 0.003 26.800 0.0 82.00 10.0 16.80 3.4 -2.30 0.2 27.86000020345343
155 J0453+1559 73.439224 15.989252 0.045782 3.3e-15 1.86e-19 8e-23 30.31 0.0003 * 0.0 * 0.0 * 0.0 * 0.0 49.76064207461736
156 J0454+5543 73.532294 55.728177 0.340729 1e-11 2.37e-15 7e-20 14.59 0.00015 8.100 0.0 59.00 9.0 13.00 3.0 -1.20 0.2 61.67935873919637
160 J0457+23 74.275 23.566667 0.504900 0.0 * 0.0 59.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 43.950267700635095
163 J0458-0505 74.654671 -5.08475 1.883480 1.8e-10 5.30e-16 1.5e-16 47.81 0.032 26.000 0.0 * 0.0 * 0.0 * 0.0 31.58459916113437
165 J0459-0210 74.966422 -2.168509 1.133076 6e-12 1.40e-15 6e-20 21.02 0.03 10.100 0.0 11.00 0.0 0.60 0.1 * 0.0 32.32951895267056
166 J0501+4516 75.278167 45.276089 5.762097 4e-08 5.82e-12 3e-14 * 0.0 * 0.0 * 0.0 * 0.0 * 0.0 61.3813908225819
167 J0502+4654 75.519004 46.901692 0.638565 3e-12 5.58e-15 1.7e-20 41.83 0.02 22.700 0.0 10.80 0.7 2.50 0.1 -1.30 0.1 84.02695248528201
169 J0509+08 77.35 8.95 0.004100 0.0 * 0.0 38.00 0.0 * 0.0 5.00 0.0 0.80 0.0 * 0.0 41.11957249279758
170 J0510+38 77.495833 38.2 0.076564 4.4e-07 * 0.0 69.00 1.0 * 0.0 3.40 0.0 * 0.0 * 0.0 66.89379727994968
174 J0517+2212 79.321446 22.214417 0.222367 7e-13 1.16e-17 1.5e-21 18.70 0.014 28.000 0.0 7.00 0.0 0.46 0.02 * 0.0 53.63422499060554
175 J0519+44 79.75 44.0 0.515000 0.0 * 0.0 52.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 60.18951915612399
176 J0519+54 80.0 54.416667 0.340194 1.2e-05 * 0.0 43.00 1.0 * 0.0 3.80 0.0 * 0.0 * 0.0 60.338503114431234
178 J0520-2553 80.150772 -25.886748 0.241642 7e-13 3.01e-17 9e-21 33.77 0.03 9.500 0.0 8.00 0.0 0.80 0.2 * 0.0 20.857754163013265
181 J0525+1115 81.485201 11.2553 0.354438 1.3e-13 7.36e-17 6e-22 79.42 0.013 13.900 0.0 19.50 0.9 1.70 0.3 -1.90 0.1 54.82609665706344
183 J0528+2200 82.217767 22.001111 3.745539 3e-11 4.01e-14 1.5e-18 50.87 0.0013 151.900 0.0 57.00 5.0 8.90 1.8 -1.50 0.1 92.96598998371627
187 J0533+0402 83.357583 4.033472 0.963018 2e-11 1.60e-16 1e-18 83.70 0.1 15.000 0.0 * 0.0 0.70 0.1 * 0.0 50.05860999123184
188 J0533+67 83.25 67.0 0.004390 0.0 * 0.0 57.40 0.0 * 0.0 * 0.0 * 0.0 * 0.0 47.972834574930516
189 J0534+2200 83.633221 22.014461 0.033392 1.2e-09 4.21e-13 3e-18 56.77 0.00024 3.000 0.0 550.00 100.0 14.00 3.0 -3.10 0.2 64.51005394703388
196 J0538+2817 84.604405 28.285878 0.143158 1.1e-13 3.67e-15 1.3e-21 39.57 0.001 2.700 0.0 8.20 0.2 1.90 0.1 * 0.0 66.29786144672073
197 J0540+3207 85.15465 32.127028 0.524271 5e-13 4.48e-16 2e-20 61.97 0.04 12.000 0.0 * 0.0 0.34 0.03 * 0.0 53.93219290722002
201 J0543+2329 85.79025 23.484722 0.245975 1.9e-12 1.54e-14 1.9e-20 77.70 0.001 5.300 0.0 29.00 1.0 10.70 0.7 -0.70 0.1 68.97957269625101
203 J0544+20 86.05 20.833333 * 0.0 * 0.0 56.90 0.0 2.300 0.0 * 0.0 * 0.0 * 0.0 69.57550852947996
204 J0545-03 86.25 -3.166667 1.073930 2e-05 * 0.0 67.20 0.4 * 0.0 * 0.0 * 0.0 * 0.0 51.99540144922592
205 J0546+2441 86.619833 24.689167 2.843850 6e-11 7.65e-15 3e-17 73.81 0.03 28.000 0.0 2.65 0.1 * 0.0 * 0.0 63.31818228057598
206 J0550+09 87.616667 9.85 1.745000 0.0 * 0.0 86.60 0.0 22.500 0.0 * 0.0 * 0.0 * 0.0 49.9096260329246
207 J0554+3107 88.520875 31.128056 0.464961 1.6e-11 1.43e-13 1.1e-18 * 0.0 * 0.0 * 0.0 0.00 0.07 * 0.0 49.46267415800289
208 J0555+3948 88.75 39.8 1.146906 2e-07 * 0.0 37.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 47.674866658316034
210 J0557+1550 89.381038 15.835013 0.002556 6e-16 7.35e-21 2e-23 102.57 0.0005 * 0.0 * 0.0 0.05 0.006 * 0.0 63.76513415549769
211 J0557-2948 89.387498 -29.804668 0.043643 3e-13 7.30e-20 5e-21 49.05 0.01 1.100 0.0 * 0.0 * 0.0 * 0.0 23.837433329158017
