name rad decd p0 dm Dist MJD BW Spindx Temp Wdat Wcat Wsmr S/Ne S/Nc S/Ns S/Nm Flux dFlux Beam
J2158-27 329.5 -27.2 0.477 22.0 0.498 56837 93.3 * 55.08 16.4769 2.39! 9.57! * * * 41.513 9.0929 0.5787 111224
J2207-15 331.9 -15.2 0.766 28.7 0.004 57789 98.3 * 55.47 23.363 2.39! 9.57! * * * 17.639 0.5650 0.1918 96042
J2207+40 331.8 40.95 0.637 11.6 0.004 55657 96.0 * 76.93 31.3187 2.39! 9.57! 82.764 171.03 83.949 36.695 2.1141 0.6390 26185
J2210+57 332.7 57.49 2.057 189.0 0.01 55325 94.6 * 120.2 108.244 2.39! 9.69! 14.667 31.416 15.318 11.486 1.0809 0.3071 11901
J2228+64 337.1 64.96 1.893 194.0 0.005 55196 93.9 * 114.3 53.082 2.39! 9.75! * * * 16.893 1.0927 0.3340 7144
J2243+69 340.8 69.65 0.855 68.0 0.017 55164 94.2 * 98.03 13.1813 2.39! 9.57! 98.233 111.70 54.829 20.415 0.8345 0.3044 4738
J2257-16 344.4 -16.5 0.469 52.8 0.005 57998 89.3 * 55.47 9.63948 2.39! 9.57! * * * 21.856 0.5997 0.2186 97652
J2316+69 349.2 69.2 0.813 71.0 0.011 55164 93.6 * 91.08 25.1553 2.39! 9.57! 57.730 93.747 46.013 15.247 0.8285 0.2551 4950
J2327+62 351.8 62.69 0.266 194.0 0.0 55199 95.1 * 117.7 6.0457 2.39! 16.5! * * * 14.543 0.8639 0.2751 8466
J2353-22 358.4 -22.8 0.558 9.9 0.015 56666 94.2 * 55.08 9.12356 2.39! 9.57! * * * 51.243 1.2118 0.4689 105506
J2353+85 358.3 85.57 1.011 38.3 0.0 55082 94.0 * 60.39 17.6268 2.39! 9.57! 229.61 277.95 136.43 19.631 0.5257 0.1960 227
J2356+22 359.0 22.57 1.841 23.0 0.0 56480 94.3 * 63.17 67.7273 2.39! 9.57! * * * 29.088 1.1935 0.3849 46828
