# results from master table, 12/09/18
# spindxflag: 0 means catalog spindx available (or sne='*'), 1 means spindx calculated using s400 and s1400, 2 means spindx=-1.7
name rajd decjd p0 dm dms dmserr dist mjd bw spindx spindxflag temp w10 w50 on-pulse sne snm dsnm DOF_corr s350m ds s350e s400 s1400 numdet bm surv spindx_m dspindx_m p1 assoc bsurf prof_len nosearch
J0343-3000 55.86 -30.0 2.597027 20.2 20.28 0.6709299386900458 0.106 56844 51.680469 * 2 69.55000000000001 98.746 38.275 8.0 152.39234168283446 7.930810148150388 0.8212209553687781 0.9599434782595698 0.38106436338555455 0.10304997734840275 13.722882272 * 1.30 1 113899 catalog * * 5.70e-17 * 3.89e+11 200 0
J0343+5312 55.8 53.21 1.934478 67.3 67.5 0.4997634625813448 0.238 55348 75.3 -1.9 0 128.8 72.33 43.995 7.0 26.42812890829827 54.66022516140401 0.8922476104481196 0.9599037943411649 6.683567092499678 0.8305719526430406 4.76855090687 3.70 0.30 3 15008 catalog * * 1.34e-14 * 5.16e+12 200 0
J0348+0432 57.18 4.536 0.039123 40.46 40.46 0.01579257261727223 0.311 58233 51.099999999999994 * 0 77.6 5.649 2.967 20.0 * 8.350069554347641 2.0745004115776937 0.9139951598083431 1.8961925699753566 0.6249884345961685 * * * 2 69971 catalog * * 2.41e-19 * 3.11e+09 128 0
J0355+28 58.99 28.76 0.365 49.0 48.68 0.09429606531694383 0.001 56277 74.1 * 0 61.45 17.899 8.372 10.0 * 14.584535502667054 1.043690561708681 0.9580499047507366 0.8108122732920857 0.1608046303762478 * * * 2 39429 gbncc * * * * * 200 0
J0357+5236 59.43 52.61 0.19703 103.7 103.7 0.05090179109423957 0.104 55504 74.2 -1.5 0 134.9 27.8 13.533 29.0 50.009839351632394 49.107640970719046 0.386283642700154 0.9540964892729716 9.866614560659254 1.1284603941986964 14.6611881278 12.00 1.90 2 15563 catalog -1.288253 0.290984 4.77e-16 * 3.10e+11 200 0
J0358+42 59.9 41.99 0.226 46.0 46.27 0.05838605688117618 0.002 55629 74.7 * 0 84.39 15.913 10.518 14.0 * 23.970530776979196 1.4565709786607612 0.955383235087657 2.2070653132949456 0.33850175368539104 * * * 3 25145 catalog * * * * * 200 0
J0358+5413 59.72 54.22 0.156384 57.14 57.12 0.040401084598698477 0.208 55343 75.0 -0.9 0 122.29 9.419 3.224 12.0 251.5305349817808 110.77127869886802 0.5589955468423207 0.9510794297019192 15.269116197713288 1.911865501396802 51.8741010815 46.00 23.00 2 14199 catalog -1.333170 0.488559 4.39e-15 XRS:PWN[mvk+06] 8.39e+11 200 0
J0358+66 59.38 66.66 0.0915 62.0 62.27 0.023638602675343453 0.001 55179 74.6 * 0 89.61 4.361 2.302 9.0 * 10.474282145810474 2.356962235266816 0.9370029890855373 0.8122880033588638 0.21369792807935262 * * * 2 6214 catalog * * * * * 200 0
J0405+3347 61.36 33.57 0.063948 54.0 53.3 0.016520670643528558 0.005 56156 74.2 * 0 68.45 5.129 2.607 9.0 * 7.165165167947169 0.45002754304616516 0.96 0.421616432762073 0.07595825013466935 * * * 1 33973 gbncc * * * * * 200 0
J0406+30 61.56 30.72 0.0026 49.0 49.37 0.002686791998071824 0.008 56277 74.2 * 0 65.32 0.638 0.246 12.0 * 26.114860120408512 0.25244121051604357 0.4979507640644798 3.789902977364437 0.6659855651937768 * * * 1 37167 gbncc * * * * * 50 0
