#@ Using S/N > 6 for detection threshold on zuul
#@ Using beam #/users/amcewen/GBNCC_work/beams_rfi.txt to search for pulsars from tmp 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-10-24 18:29:55 (ET)
#@ DM Searching - DMs is resulting DM from search
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 DMs 		 Dist  	 MJD     BW	 Spindx Temp 	 Wdat  		 Wcat 	 Wsmr 	 S/Ne 	 S/Nc 	S/Ns	S/Nm 	   Flux		dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (p/cc)		 (deg)	 (day)	(MHz) 		 (K) 	 (ms)  		 (ms)  	  (ms)   				   (mJy)	(mJy)  
J1946-1312  	 296.7 	 -13.2 	 0.491865 	 60.0 	 63.04(0.13) 	 0.155 	 58348 	 89.3 	 * 	 83.63 	 9.69819 	 1.02 	 4.10 	 65.372	 129.06	64.018	25.811	   1.2503    	 0.3585    	Detected in Beam  93508
J2004+3137  	 301.2 	 31.61 	 2.111265 	 234.8 	 234.8(0.55) 	 0.131 	 56075 	 93.7 	 -1.5 	 156.3 	 22.9476 	 0.50 	 4.95 	 285.39	 594.94	187.74	77.775	   4.8278    	 1.8096    	Detected in Beam  36228
J2005-0020  	 301.4 	 -0.33 	 2.279661 	 35.93 	 36.09(0.59) 	 0.203 	 57507 	 76.8 	 -1.9 	 74.39 	 57.9013 	 0.83 	 3.33 	 246.29	 614.62	305.37	21.779	   1.3103    	 0.3210    	Detected in Beam  76441
J2013-20    	 303.4 	 -20.1 	 0.544    	 39.0 	 37.52(0.14) 	 0.221 	 58386 	 98.3 	 * 	 38.73 	 16.4123 	 2.39! 	 9.57! 	 *	 *	*	10.185	   0.3261    	 0.0933    	Detected in Beam 101993
J2033+0042  	 308.3 	 0.706 	 5.013398 	 37.84 	 37.52(1.30) 	 0.307 	 57753 	 77.3 	 * 	 73.80 	 110.687 	 0.09 	 0.39 	 *	 *	*	49.492	   4.0647    	 0.6913    	Detected in Beam  74967
J2044+4614  	 311.2 	 46.24 	 1.392715 	 315.4 	 311.3(0.36) 	 0.336 	 55508 	 94.3 	 * 	 144.7 	 66.7848 	 2.39! 	 34.7! 	 *	 *	*	4.8238	   1.2035    	 0.1663    	Not Detected in  21169
J2046-0421  	 311.5 	 -4.35 	 1.546938 	 35.8 	 35.96(0.40) 	 0.369 	 57384 	 81.6 	 -1.7 	 66.20 	 22.2101 	 0.67 	 2.68 	 320.71	 666.50	331.55	159.59	   12.488    	 1.8019    	Detected in Beam  81300
J2205+1444  	 331.3 	 14.74 	 0.938014 	 36.72 	 36.71(0.24) 	 0.215 	 58355 	 98.3 	 -2.1 	 64.56 	 8.82761 	 0.42 	 1.70 	 68.767	 145.00	72.260	46.411	   1.3400    	 0.4631    	Detected in Beam  56816
J2207+40    	 331.7 	 40.95 	 0.636985 	 12.0 	 11.33(0.16) 	 0.057 	 55657 	 96.0 	 * 	 76.93 	 28.8234 	 2.39! 	 9.57! 	 84.355	 166.89	81.916	32.473	   1.8356    	 0.5443    	Detected in Beam  26185
J2227+30    	 336.8 	 30.6  	 0.842408 	 19.0 	 5.205(0.22) 	 0.287 	 56080 	 92.8 	 * 	 59.94 	 95.1601 	 2.39! 	 9.57! 	 22.820	 74.008	36.326	0.0	   0.0    	 0.0    	Not Detected in  37165
J2229+64    	 337.2 	 64.96 	 1.89312  	 194.0 	 194.2(0.49) 	 0.038 	 55196 	 93.9 	 * 	 105.0 	 45.0307 	 2.39! 	 9.75! 	 77.246	 109.58	53.246	18.259	   1.0085    	 0.3174    	Detected in Beam  07144
J2253+1516  	 343.3 	 15.27 	 0.792236 	 29.2 	 29.03(0.20) 	 0.494 	 58349 	 98.3 	 -1.0 	 59.35 	 7.03192 	 0.50 	 2.01 	 24.591	 46.258	23.039	29.900	   3.3350    	 0.4100    	Detected in Beam  56596
J2305+3100  	 346.4 	 31.00 	 1.575886 	 49.58 	 49.58(0.41) 	 0.014 	 56080 	 91.9 	 -2.3 	 61.28 	 19.1857 	 0.55 	 2.20 	 1422.6	 3001.9	1494.6	186.72	   4.2824    	 1.8257    	Detected in Beam  36856
J2305+4707  	 346.4 	 47.12 	 1.066371 	 62.07 	 67.04(0.28) 	 0.368 	 55557 	 95.3 	 -1.2 	 69.78 	 66.5913 	 2.39! 	 9.57! 	 13.736	 32.217	15.813	0.0	   0.0    	 0.0    	Not Detected in  20365
#@
#####  Summary  #####@
#@ 86 pulsars in survey area
#@ Detected 62 pulsars in 66 beams
#@ Unable to find observations on zuul for 0 beams
